Battery,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.,CO2_savings_total,Inovation_Score
75.0,172,670.0,59017.0,435,217,5.0,30.45,0.46183703713749974
57.5,137,700.0,46220.0,420,201,6.1,29.4,0.4026418529671259
60.5,183,370.0,44625.0,330,160,7.3,23.1,0.3402711335467288
61.7,171,630.0,39990.0,360,160,7.9,25.2,0.37941292759076456
75.0,149,780.0,55220.0,505,201,4.4,35.35,0.4587308244810615
57.5,164,580.0,47567.0,350,217,6.9,24.5,0.41189761520790064
71.0,197,480.0,77300.0,360,200,6.1,25.2,0.3975040904077921
64.0,173,550.0,41790.0,370,180,5.3,25.9,0.4046508443375014
44.0,176,320.0,23300.0,250,135,11.0,17.5,0.2764549131826202
82.5,170,530.0,53668.0,485,180,3.8,33.95,0.42408254684655905
80.7,157,800.0,59200.0,515,190,5.7,36.05,0.45350253068692614
60.0,158,530.0,46600.0,380,160,7.4,26.6,0.34237788331289865
64.7,170,550.0,55000.0,380,180,5.6,26.6,0.38486980976556845
64.0,164,370.0,42900.0,390,167,7.9,27.3,0.3346524354457787
75.0,181,640.0,63667.0,415,250,3.7,29.05,0.5000640150143104
64.8,168,390.0,45690.0,385,167,7.8,26.95,0.33997642550776974
100.0,220,540.0,67264.284789644,455,250,4.5,31.85,0.5439204787357479
95.0,170,780.0,57833.3444159492,560,282,2.1,39.2,0.5999977090035371
74.0,192,520.0,67300.0,385,180,6.8,26.95,0.39208523009877977
90.0,243,430.0,67264.284789644,370,200,4.9,25.9,0.4808520652678555
37.3,159,390.0,34990.0,235,150,9.0,16.45,0.2714327815549692
85.4,180,450.0,70805.0,475,180,3.9,33.25,0.4002549923843982
95.0,165,800.0,95970.0,575,250,3.2,40.25,0.5137917604799778
60.5,178,340.0,35990.0,340,160,7.0,23.8,0.3426924443486955
58.0,166,470.0,39370.0,350,160,7.3,24.5,0.34463512265855656
25.0,152,180.0,22550.0,165,125,19.1,11.55,0.1332977971395693
81.2,171,710.0,70200.0,475,193,6.0,33.25,0.4347427229470153
80.7,179,700.0,70800.0,450,225,3.9,31.5,0.48226617654638
50.8,167,490.0,41990.0,305,170,9.2,21.35,0.33246813774537526
68.3,185,420.0,37990.0,370,175,8.4,25.9,0.38100947210987435
76.6,189,630.0,67264.284789644,405,160,8.5,28.35,0.38252074109438694
101.7,199,760.0,57833.3444159492,510,240,4.7,35.7,0.5675604180740647
64.0,188,510.0,47490.0,340,160,7.5,23.8,0.37104868066367747
49.0,175,430.0,36590.0,280,180,5.7,19.6,0.3641687872032576
62.0,185,520.0,42490.0,335,180,6.7,23.45,0.39823707011324555
74.0,180,1070.0,51990.0,410,185,7.3,28.7,0.500501982722239
77.0,162,710.0,56995.0,475,180,6.5,33.25,0.421159589160721
105.2,208,680.0,100100.0,505,200,4.6,35.35,0.4726811966876841
106.0,210,640.0,85300.0,505,200,5.6,35.35,0.48103258142993865
50.8,169,390.0,34990.0,300,160,7.7,21.0,0.32343521496172123
73.0,183,460.0,67264.284789644,400,180,7.0,28.0,0.3709314786566509
82.5,165,550.0,47578.0,500,180,5.9,35.0,0.41961582826584054
77.0,169,680.0,48900.0,455,180,6.7,31.85,0.4294711870500736
65.4,168,400.0,47190.0,390,170,8.8,27.3,0.3385526114503899
58.0,166,450.0,39995.0,350,160,7.3,24.5,0.3402892591148837
52.0,165,230.0,36840.0,315,135,11.4,22.05,0.24345341434561887
96.0,226,740.0,76490.0,425,200,6.0,29.75,0.5084842886749931
46.3,162,460.0,39100.0,285,150,8.1,19.95,0.30323663139532075
85.0,210,1000.0,57833.3444159492,405,250,3.3,28.35,0.6150726715193039
21.3,158,552.9608938547486,28000.0,135,135,12.6,9.45,0.24202323949593635
77.0,171,630.0,46450.0,450,160,7.0,31.5,0.40288430354652505
86.4,240,330.0,71400.0,360,180,4.6,25.2,0.4316562068552103
28.9,161,260.0,35700.0,180,150,7.3,12.6,0.24437671239575826
67.0,156,580.0,56500.0,430,190,6.0,30.1,0.3895514095299092
74.0,168,1150.0,61100.0,440,185,5.1,30.8,0.5069401339491162
74.0,206,940.0,72990.0,360,260,3.5,25.2,0.5754909163807154
74.0,149,1290.0,54000.0,495,185,7.4,34.65,0.5143475439754341
50.8,164,500.0,37000.0,310,150,9.0,21.7,0.31799817435413136
87.0,193,540.0,58990.0,450,160,7.6,31.5,0.4011629214462693
39.0,166,230.0,33400.0,235,144,7.9,16.45,0.255781169026783
77.0,223,480.0,64581.0,345,145,10.2,24.15,0.3678662829203112
70.5,168,580.0,67264.284789644,420,160,8.6,29.4,0.345468836558119
77.0,177,650.0,46335.0,435,180,6.7,30.45,0.4336260422350165
46.3,157,470.0,67264.284789644,295,150,8.1,20.65,0.2654382485063098
94.0,186,700.0,63970.0,505,200,3.8,35.35,0.4923093229685622
46.3,160,460.0,36040.0,290,150,9.7,20.3,0.29603307108454746
94.0,202,690.0,67264.284789644,465,200,3.8,32.55,0.4991091075554265
118.0,172,870.0,57833.3444159492,685,270,2.9,47.95,0.6384571739615129
74.4,175,430.0,45990.0,425,180,6.5,29.75,0.3899972210495811
98.0,188,680.0,67264.284789644,520,180,7.0,36.4,0.45272122056031683
80.0,208,950.0,67264.284789644,385,260,3.4,26.95,0.5952702784768358
74.0,190,1020.0,47900.0,390,185,7.3,27.3,0.5060130053515737
57.5,164,810.0,47567.0,350,217,6.9,24.5,0.4529690437793292
61.9,185,300.0,47590.0,335,160,7.6,23.45,0.32682502829413884
44.9,176,260.0,29990.0,255,150,10.0,17.85,0.2801725893057694
109.0,220,1040.0,95990.0,495,250,4.5,34.65,0.6092486391192206
79.0,168,700.0,54475.0,470,205,6.2,32.9,0.45756150680256147
64.0,178,540.0,48490.0,360,180,3.6,25.2,0.4092490329490986
64.7,166,560.0,47900.0,390,170,8.3,27.3,0.36614748368039296
54.0,148,900.0,43900.0,365,185,8.8,25.55,0.40964709270644306
86.0,165,800.0,67264.284789644,520,180,7.0,36.4,0.4392130831281288
46.3,178,420.0,40650.0,260,150,9.2,18.2,0.30473365748163095
66.5,196,490.0,67264.284789644,340,160,6.2,23.8,0.3627739733424069
61.7,193,560.0,46990.0,320,200,3.8,22.4,0.44516390186871724
62.0,197,490.0,48990.0,315,180,3.9,22.05,0.41370605806314065
64.0,200,480.0,57490.0,320,160,6.9,22.4,0.3692396562984165
108.4,171,950.0,57833.3444159492,635,210,6.1,44.45,0.5563164554097743
106.5,201,630.0,69950.0,530,205,3.9,37.1,0.5069970363875262
79.0,195,600.0,53000.0,405,180,7.3,28.35,0.43152398392235247
94.0,177,740.0,60970.0,530,200,7.2,37.1,0.47677130917496957
77.0,159,720.0,51150.0,485,180,6.7,33.95,0.4273634776024027
81.2,191,630.0,99500.0,425,230,3.8,29.75,0.4508756838717853
85.0,202,1030.0,57833.3444159492,420,245,4.1,29.4,0.6028074645247596
74.0,185,1050.0,55980.0,400,185,5.2,28.0,0.5090253482642435
57.4,171,330.0,38490.0,335,185,7.7,23.45,0.3472449119092559
30.0,176,210.0,35990.0,170,140,9.7,11.9,0.23059046504232308
94.0,190,740.0,67264.284789644,495,180,7.4,34.65,0.456847812508949
84.0,230,330.0,68990.0,365,180,9.2,25.55,0.39384827661559635
39.2,160,210.0,36400.0,245,155,9.9,17.15,0.24180496484673836
106.5,199,640.0,57000.0,535,200,4.2,37.45,0.5163527030585844
52.0,168,230.0,37840.0,310,140,9.5,21.7,0.2616214106772395
96.0,213,780.0,72490.0,450,185,9.4,31.5,0.47272480608528733
64.0,200,480.0,68000.0,320,160,5.6,22.4,0.3638638166286866
95.0,200,660.0,100970.0,475,250,3.9,33.25,0.5025522815143164
70.5,170,560.0,53514.0,415,160,8.9,29.05,0.35875405360440593
74.0,192,1010.0,59200.0,385,185,5.1,26.95,0.5047501124672703
50.8,169,450.0,44765.0,300,170,9.8,21.0,0.31994080679004655
95.0,209,630.0,57833.3444159492,455,262,2.6,31.85,0.5784530495180735
79.0,203,580.0,59950.0,390,180,4.8,27.3,0.4418349831830499
54.0,183,720.0,43900.0,295,185,8.5,20.65,0.41206986204432783
77.0,169,680.0,48970.0,455,180,6.7,31.85,0.4293844503331822
66.5,196,490.0,67264.284789644,340,160,8.0,23.8,0.3521857380482893
106.0,202,660.0,87550.0,525,200,5.6,36.75,0.4754823271852925
64.7,170,550.0,56500.0,380,180,5.6,26.6,0.38301116583218225
77.0,183,630.0,52950.0,420,180,6.7,29.4,0.4266082816043514
64.0,183,520.0,50470.0,350,180,3.8,24.5,0.4067335695971348
105.2,217,650.0,57833.3444159492,485,250,3.8,33.95,0.583537133713848
50.8,167,490.0,36490.0,305,150,9.0,21.35,0.3199468155765394
62.0,175,550.0,43490.0,355,180,6.7,24.85,0.39298342541525794
70.0,192,400.0,46990.0,365,200,7.9,25.55,0.4040467479876021
59.0,174,240.0,41100.0,340,157,6.9,23.8,0.30993888400858965
79.0,176,670.0,58775.0,450,205,4.5,31.5,0.4632099682523737
25.0,156,170.0,24550.0,160,125,13.7,11.2,0.16542000073756954
90.6,171,790.0,67264.284789644,530,210,6.4,37.1,0.48374902633607497
77.0,169,680.0,47595.0,455,160,7.9,31.85,0.40351656322988727
108.4,224,720.0,57833.3444159492,485,210,4.6,33.95,0.5609385217276708
96.0,231,720.0,82380.0,415,200,5.3,29.05,0.5064180777837279
60.0,158,530.0,47000.0,380,150,10.5,26.6,0.313390540556605
58.0,171,460.0,44200.0,340,160,8.7,23.8,0.3333151265894614
46.3,162,460.0,37540.0,285,150,9.7,19.95,0.29575785638016006
91.0,190,420.0,58500.0,480,180,7.0,33.6,0.40855405001542
112.0,168,840.0,57833.3444159492,665,270,3.0,46.55,0.620617664624982
66.0,191,420.0,47500.0,345,180,7.3,24.15,0.3826656597136108
67.0,165,480.0,50775.0,405,205,6.4,28.35,0.3982179240298906
50.8,169,480.0,40050.0,300,150,9.1,21.0,0.3147451136238031
75.8,190,840.0,67264.284789644,400,200,6.4,28.0,0.47346376518372524
45.4,175,240.0,38990.0,260,160,8.3,18.2,0.2856412655032071
76.6,199,550.0,67264.284789644,385,180,6.2,26.95,0.41164895068573876
76.5,239,440.0,67264.284789644,320,200,6.5,22.4,0.45260461093514437
107.0,218,640.0,88600.0,490,210,5.0,34.3,0.49851764916814595
70.0,200,380.0,50990.0,350,200,4.9,24.5,0.42095425678788057
49.0,185,250.0,33990.0,265,175,8.6,18.55,0.3238867879414049
77.0,179,640.0,67264.284789644,430,180,5.6,30.1,0.4139609532773392
64.0,203,470.0,57390.0,315,160,6.9,22.05,0.3706802681790323
89.0,209,660.0,74400.0,425,200,6.0,29.75,0.4709655001263369
63.0,188,450.0,47490.0,335,160,7.5,23.45,0.3588798494948463
54.0,177,750.0,46990.0,305,185,8.5,21.35,0.40739336525715303
118.0,177,840.0,57833.3444159492,665,270,2.7,46.55,0.6360532565832844
107.0,230,610.0,57833.3444159492,465,180,5.9,32.55,0.5061751172245046
66.5,164,580.0,50777.0,405,160,8.6,28.35,0.3554585787289156
90.0,290,310.0,71626.0,310,160,12.1,21.7,0.4245781875693272
70.5,176,540.0,81900.0,400,200,3.8,28.0,0.39578557595021446
91.0,204,390.0,65900.0,445,180,5.8,31.15,0.4121704252193089
52.0,182,360.0,40335.0,285,160,9.0,19.95,0.31919124447781777
123.0,237,520.0,89790.0,520,200,6.5,36.4,0.4941226461051902
90.0,180,520.0,68500.0,500,200,4.0,35.0,0.442808421053465
77.0,175,660.0,51150.0,440,180,6.6,30.8,0.4284503155596799
93.1,190,1020.0,67264.284789644,490,200,6.4,34.3,0.5317884405084006
79.0,198,600.0,61400.0,400,180,4.7,28.0,0.4395121121132196
75.0,197,480.0,41560.0,380,160,7.4,26.6,0.3989348618296188
96.0,211,630.0,99841.0,455,210,4.9,31.85,0.4625767629655299
49.0,158,440.0,36900.0,310,170,6.7,21.7,0.3323361064622983
72.6,191,460.0,55800.0,380,180,7.3,26.6,0.3897058386068824
79.0,188,630.0,54450.0,420,180,7.3,29.4,0.42881516261512
84.7,223,360.0,92400.0,380,200,4.8,26.6,0.4103240815775867
77.0,169,680.0,63300.0,455,180,5.5,31.85,0.4186870288189778
82.7,178,650.0,67264.284789644,465,200,4.1,32.55,0.45374584832768483
106.5,201,630.0,69950.0,530,205,3.9,37.1,0.5069970363875262
89.0,170,660.0,67187.0,525,210,7.3,36.75,0.45236285344868943
28.5,168,180.0,39900.0,170,145,8.3,11.9,0.22160005751049516
109.0,240,950.0,57833.3444159492,455,260,2.9,31.85,0.6788685263222324
62.0,188,510.0,50990.0,330,180,3.7,23.1,0.40666851559930983
50.8,169,450.0,45765.0,300,150,9.0,21.0,0.30289477267457643
89.0,209,540.0,67264.284789644,425,210,6.6,29.75,0.4651057630468698
108.4,217,750.0,57833.3444159492,500,210,6.7,35.0,0.5476734483795744
44.9,176,260.0,32740.0,255,160,8.0,17.85,0.29878619156665787
48.1,153,490.0,38045.0,315,150,8.1,22.05,0.3049574071369353
56.0,193,330.0,40490.0,290,156,8.5,20.3,0.3306440603296216
77.0,181,630.0,49020.0,425,180,6.6,29.75,0.430482734774942
66.5,190,500.0,67264.284789644,350,160,6.0,24.5,0.35953132507481456
40.0,154,370.0,42000.0,260,150,10.0,18.2,0.2529707279575391
47.0,184,330.0,37490.0,255,180,6.7,17.85,0.3457122638481287
50.8,154,470.0,41540.0,330,150,10.0,23.1,0.2917614913178901
92.0,159,970.0,57833.3444159492,580,250,3.2,40.6,0.5837445004349899
77.0,171,670.0,67264.284789644,450,180,6.8,31.5,0.405925555689075
107.0,238,590.0,57833.3444159492,450,180,4.9,31.5,0.5162743039647933
46.3,171,430.0,67264.284789644,270,150,9.9,18.9,0.2617002515814179
77.0,183,630.0,53255.0,420,180,5.4,29.4,0.43387741616142556
66.5,187,510.0,56424.0,355,160,6.0,24.85,0.37164677583005823
77.0,164,700.0,53400.0,470,180,6.6,32.9,0.4248236187702368
70.5,164,600.0,52205.0,430,160,8.6,30.1,0.36453330554848784
74.0,190,1020.0,67264.284789644,390,185,7.8,27.3,0.479077621915229
108.4,184,880.0,57833.3444159492,590,210,4.3,41.3,0.5610606170560208
45.0,205,230.0,39300.0,220,132,12.6,15.4,0.2633926217230531
48.1,155,480.0,36775.0,310,150,8.2,21.7,0.3057405386497025
60.0,190,380.0,39563.0,315,150,7.5,22.05,0.34316554574376684
48.4,167,280.0,41990.0,290,160,7.8,20.3,0.28858338524297567
77.0,195,590.0,59000.0,395,180,5.4,27.65,0.43057107358223784
93.1,196,990.0,67264.284789644,475,200,3.9,33.25,0.5458874676911953
76.6,180,660.0,67264.284789644,425,160,8.5,29.75,0.38002517969376226
90.0,178,530.0,90900.0,505,200,3.8,35.35,0.41643142729318183
66.5,190,500.0,67264.284789644,350,160,7.7,24.5,0.34953132507481455
77.0,177,650.0,54950.0,435,180,6.7,30.45,0.42295123057760176
90.6,208,650.0,67264.284789644,435,210,4.9,30.45,0.4961387237570456
64.0,173,350.0,46950.0,370,167,7.9,25.9,0.333915372511975
101.7,196,780.0,57833.3444159492,520,205,5.5,36.4,0.5288806572788906
106.0,233,570.0,95800.0,455,210,4.5,31.85,0.49264032670324465
83.7,186,1110.0,57833.3444159492,450,250,3.7,31.5,0.6089978003740679
82.7,167,690.0,67264.284789644,495,200,6.7,34.65,0.43761299979126217
83.7,173,1190.0,98863.0,485,230,5.4,33.95,0.532365996592261
101.7,208,730.0,57833.3444159492,490,250,3.7,34.3,0.586194742672276
50.8,169,480.0,43490.0,300,170,9.3,21.0,0.32981897346115596
66.0,186,430.0,47500.0,355,180,7.3,24.85,0.3797655281995552
92.0,156,990.0,57833.3444159492,590,200,4.2,41.3,0.5285036536669652
77.0,179,640.0,56455.0,430,180,5.5,30.1,0.427942929637134
83.0,195,990.0,67264.284789644,425,320,2.7,29.75,0.6599587724103035
64.7,170,550.0,67264.284789644,380,170,8.6,26.6,0.3417697150045671
21.3,158,230.0,30990.0,135,135,9.0,9.45,0.20182322498860716
46.3,157,470.0,34650.0,295,150,8.7,20.65,0.3023210651189384
107.0,228,610.0,95200.0,470,210,4.7,32.9,0.49611887048599645
46.3,226,330.0,37790.0,205,135,11.7,14.35,0.3190269380106988
90.0,290,310.0,64248.0,310,160,12.0,21.7,0.4343084728237938
87.0,215,480.0,61990.0,405,200,5.7,28.35,0.4592602719071657
90.0,205,460.0,74500.0,440,200,4.5,30.8,0.44223852122480456
50.8,154,470.0,41540.0,330,150,10.0,23.1,0.2917614913178901
50.8,169,480.0,40540.0,300,150,9.0,21.0,0.3147261918996812
108.4,178,910.0,57833.3444159492,610,210,5.6,42.7,0.5554749588571832
51.0,196,240.0,67264.284789644,260,155,8.9,18.2,0.27384783085744097
46.0,174,320.0,35490.0,265,185,7.7,18.55,0.33336981115199404
96.0,202,660.0,86811.0,475,210,6.9,33.25,0.46446191598390046
89.0,176,640.0,74149.0,505,210,6.3,35.35,0.4493429340080652
83.7,195,1060.0,57833.3444159492,430,260,2.8,30.1,0.623472461106733
46.3,232,320.0,42440.0,200,135,11.7,14.0,0.3191388061275748
90.0,209,450.0,94900.0,430,200,3.9,30.1,0.42187151966774156
91.0,214,380.0,77300.0,425,200,3.7,29.75,0.4384964703286902
64.7,175,530.0,67264.284789644,370,180,5.6,25.9,0.37078760131284805
64.0,178,540.0,45970.0,360,180,5.6,25.2,0.4006068488748345
95.0,235,440.0,67264.284789644,405,220,4.1,28.35,0.5058864018669725
94.0,188,700.0,68970.0,500,200,3.8,35.0,0.48769727241960703
90.0,186,500.0,68500.0,485,200,4.0,33.95,0.44398728016903305
79.0,176,670.0,65275.0,450,205,4.2,31.5,0.4569205504233864
66.5,193,500.0,55519.0,345,160,8.0,24.15,0.36542257064334266
101.0,220,600.0,67264.284789644,460,180,8.4,32.2,0.4613532616391189
45.0,200,230.0,39990.0,225,132,12.6,15.75,0.2563972542593802
59.3,174,240.0,44490.0,340,160,8.2,23.8,0.3011682129725305
89.0,173,650.0,70995.0,515,210,6.4,36.05,0.45280065052736973
89.0,200,690.0,76650.0,445,200,6.0,31.15,0.465681972825633
37.3,159,390.0,36990.0,235,150,9.0,16.45,0.26895458964378754
77.0,195,590.0,54950.0,395,180,6.6,27.65,0.42853058867296884
70.5,178,530.0,59500.0,395,200,4.0,27.65,0.4221625697104977
37.0,157,360.0,67264.284789644,235,160,7.3,16.45,0.24330313851825863
74.0,211,860.0,67300.0,350,235,4.2,24.5,0.5431828311822333
66.5,193,500.0,58197.0,345,160,6.2,24.15,0.3726925069683882
73.0,190,440.0,67264.284789644,385,180,6.0,26.95,0.3795116780551675
108.4,203,800.0,57833.3444159492,535,250,3.4,37.45,0.6059554209366773
70.5,183,520.0,59500.0,385,200,4.0,26.95,0.42506270122455325
90.6,208,550.0,89548.0,435,210,6.6,30.45,0.4406699195072135
77.0,186,620.0,61000.0,415,180,5.4,29.05,0.42559732027043157
77.0,177,650.0,61050.0,435,180,5.5,30.45,0.4224515687779096
82.5,188,880.0,69200.0,440,225,4.9,30.8,0.5212710294438643
58.0,168,460.0,40750.0,345,160,6.6,24.15,0.3468405322419493
71.0,169,1030.0,93139.0,420,230,5.4,29.4,0.4859021129944546
108.4,221,730.0,57833.3444159492,490,210,5.2,34.3,0.5560924076779084
46.3,160,460.0,67264.284789644,290,150,9.0,20.3,0.26146083314430774
27.0,180,552.9608938547486,24990.0,150,135,12.0,10.5,0.28706368796959425
45.0,200,230.0,49445.0,225,132,12.6,15.75,0.24468160199926917
72.6,207,430.0,67264.284789644,350,180,6.2,24.5,0.3921904598095263
64.0,188,170.0,67264.284789644,340,160,7.5,23.8,0.2858321586418432
108.4,184,880.0,57833.3444159492,590,210,4.8,41.3,0.5581194405854326
83.7,174,1180.0,57833.3444159492,480,250,4.0,33.6,0.6102325191177218
90.6,179,750.0,88215.0,505,210,4.7,35.35,0.46552539417078104
83.7,190,1080.0,103254.0,440,220,5.1,30.8,0.5115224404535649
81.0,208,290.0,53090.0,390,150,8.0,27.3,0.3565516436805538
108.4,221,730.0,57833.3444159492,490,210,6.0,34.3,0.5513865253249671
87.0,215,480.0,71490.0,405,200,5.1,28.35,0.45101827209375894
68.0,257,290.0,56942.0,265,130,13.3,18.55,0.3381560983417613
76.6,192,570.0,67264.284789644,400,180,6.2,28.0,0.4089511042283986
59.3,180,230.0,49490.0,330,160,8.2,23.1,0.29939185205040425
90.6,201,570.0,83479.0,450,210,7.6,31.5,0.4396097934631774
106.0,221,610.0,98050.0,480,210,4.5,33.6,0.48604009711748386
77.0,186,620.0,56950.0,415,180,6.6,29.05,0.4235568353611625
82.7,180,640.0,67264.284789644,460,200,4.1,32.2,0.45354356327096934
62.0,194,490.0,46490.0,320,180,3.9,22.4,0.4137013813813466
46.3,220,330.0,37800.0,210,135,11.2,14.7,0.3142963449256436
58.0,163,480.0,67264.284789644,355,160,8.8,24.85,0.2999311954947892
37.3,162,380.0,37990.0,230,150,9.0,16.1,0.26903219597325345
90.6,218,620.0,57833.3444159492,415,210,4.3,29.05,0.5153685243386117
68.0,257,290.0,64530.0,265,130,13.1,18.55,0.32993030881897356
46.3,226,330.0,40150.0,205,135,11.2,14.35,0.31904384802609276
71.0,171,1020.0,57833.3444159492,415,250,4.0,29.05,0.5581950376118859
87.7,206,550.0,52990.0,425,200,5.9,29.75,0.47388296066148006
90.6,195,690.0,57833.3444159492,465,210,4.2,32.55,0.5080655053174243
66.5,187,510.0,53520.0,355,160,7.7,24.85,0.3652451104850939
21.3,158,230.0,67264.284789644,135,135,9.0,9.45,0.15687590541381038
46.3,250,290.0,53640.0,185,130,12.1,12.95,0.3154007780514016
37.8,168,370.0,37990.0,225,155,7.0,15.75,0.29179877129418474
90.6,221,610.0,57833.3444159492,410,240,3.5,28.7,0.5521603397458403
68.0,262,280.0,70075.0,260,130,13.3,18.2,0.3262377281255883
60.0,171,430.0,47588.0,350,160,7.0,24.5,0.33666901754386785
68.0,262,280.0,65385.0,260,130,13.1,18.2,0.3332255587455445
70.5,201,470.0,65500.0,350,200,4.5,24.5,0.4229183315619294
39.2,170,200.0,67264.284789644,230,157,9.9,16.1,0.2146529592113407
46.3,226,330.0,43050.0,205,135,11.7,14.35,0.3125092932842912
68.0,257,290.0,57940.0,265,130,13.3,18.55,0.3369194805780817
90.6,195,690.0,57833.3444159492,465,220,3.5,32.55,0.5224395626326581
90.0,295,310.0,65140.0,305,160,12.0,21.35,0.43934359048572214
83.7,188,1090.0,57833.3444159492,445,260,3.2,31.15,0.6202073877586367
68.0,257,290.0,57940.0,265,130,14.3,18.55,0.3310371276369052
46.3,226,330.0,41240.0,205,135,11.7,14.35,0.31475205696391056
68.0,262,280.0,60430.0,260,130,14.3,18.2,0.33230645567608513
74.0,195,990.0,63200.0,380,200,5.5,26.6,0.5123563908523944
83.7,190,1080.0,57833.3444159492,440,240,4.1,30.8,0.594198164542042
87.7,206,550.0,58890.0,425,200,5.5,29.75,0.4689252356999649
71.0,187,930.0,94091.0,380,230,5.4,26.6,0.4825707593031245
60.0,286,200.0,68056.0,210,160,12.0,14.7,0.37478027982404916
90.0,290,310.0,72519.0,310,160,12.1,21.7,0.42347167488098464
60.0,286,310.0,60678.0,210,160,12.0,14.7,0.40356518692725524
37.8,168,370.0,40990.0,225,155,7.0,15.75,0.28808148342741235
74.0,203,950.0,73100.0,365,235,4.0,25.55,0.5454557114289298
28.9,175,230.0,67264.284789644,165,150,8.2,11.55,0.21151646068876623
68.0,257,290.0,59640.0,265,130,13.3,18.55,0.3348130174535773
70.5,207,460.0,85900.0,340,200,3.9,23.8,0.4055893046884106
68.0,257,290.0,59640.0,265,130,14.3,18.55,0.3289306645124008
46.3,250,290.0,53640.0,185,130,13.1,12.95,0.3095184251102251
83.7,197,1050.0,57833.3444159492,425,250,3.7,29.75,0.6077196481465487
83.7,197,1050.0,57833.3444159492,425,250,3.3,29.75,0.6100725893230192
68.0,262,280.0,58730.0,260,130,14.3,18.2,0.3344129188005895
68.0,262,280.0,62990.0,260,130,13.3,18.2,0.33501672297094914
46.3,257,290.0,54430.0,180,130,12.1,12.6,0.32360025818434446
83.7,204,1010.0,57833.3444159492,410,250,2.9,28.7,0.6115519483854013
46.3,226,330.0,43640.0,205,135,11.7,14.35,0.31177822667049265
21.3,158,230.0,35490.0,135,135,9.0,9.45,0.19624729318844855
83.7,188,1090.0,99815.0,445,230,5.4,31.15,0.5244776808756144
68.0,257,290.0,67264.284789644,265,130,13.1,18.55,0.3265422675946923
46.3,257,290.0,67264.284789644,180,130,12.1,12.6,0.30769734780859603
83.7,212,970.0,57833.3444159492,395,260,2.8,27.65,0.6230419991636129
68.0,262,280.0,60430.0,260,130,13.3,18.2,0.33818880861726164
46.3,250,290.0,51940.0,185,130,12.1,12.95,0.31750724117590595
46.3,250,290.0,63250.0,185,130,12.1,12.95,0.303493065918174
68.0,262,280.0,67264.284789644,260,130,13.1,18.2,0.3308969445632933
68.0,262,280.0,58730.0,260,130,13.3,18.2,0.340295271741766
83.7,195,1060.0,57833.3444159492,430,250,4.0,30.1,0.606157227320911
46.3,232,320.0,44750.0,200,135,11.7,14.0,0.31627649447016
46.3,250,290.0,67264.284789644,185,130,12.1,12.95,0.29851898187073644
71.0,192,910.0,57833.3444159492,370,250,4.0,25.9,0.5573600055553348
46.3,250,290.0,51940.0,185,130,13.1,12.95,0.31162488823472945
60.0,293,300.0,61571.0,205,160,12.0,14.35,0.40985132589105794
46.3,250,290.0,54430.0,185,130,13.1,12.95,0.30853953930530836
68.0,257,290.0,61990.0,265,130,13.3,18.55,0.3319011419579389
83.7,207,1000.0,57833.3444159492,405,260,3.2,28.35,0.6213603550445153
60.0,286,200.0,68949.0,210,160,12.0,14.7,0.3736737671357066
68.0,262,280.0,57775.0,260,130,13.3,18.2,0.3414786083793552
46.3,250,290.0,50992.0,185,130,12.1,12.95,0.318681904141806
46.3,257,290.0,64075.0,180,130,12.1,12.6,0.3116491776926712
46.3,250,290.0,52730.0,185,130,13.1,12.95,0.3106460024298128
46.3,257,290.0,52730.0,180,130,12.1,12.6,0.3257067213088488
46.3,250,290.0,55990.0,185,130,12.1,12.95,0.3124889025557632
46.3,257,290.0,51825.0,180,130,12.1,12.6,0.3268281031486585
68.0,257,290.0,69250.0,265,130,13.3,18.55,0.3229053053203497
46.3,257,290.0,56990.0,180,130,12.1,12.6,0.320428172538032
